Category	Color	phenotype	description	description_short	GTEx tissue	h2_liability	h2_liability_se	h2_observed	h2_observed_se	h2_z	h2_p	h2_p_dec	h2_sig	confidence	notes	intercept	intercept_se	intercept_z	intercept_p	lambdaGC	mean_chi2	ratio	ratio_se	n	Neff	variable_type	isBinary	n_cases	n_controls	prevalence	source	sex	isNotPrimary	isBadPower	isLowNeff	isMidNeff	isExtremeSE	isHighSE	isSexBias	isBadOrdinal	isNumericOrdinal
Anthropometric trait	#ff006d	21001_irnt	Body mass index (BMI)	BMI	Adipose subcutaneous,Adipose visceral omentum,Brain hypothalamus,Pituitary,Adrenal gland	0.248198329	0.008395732	0.248198329	0.008395732	29.56243909	2.27E-192	2.27E-192	z7	high		1.105395649	0.02159638	4.88024606	5.30E-07	2.194637698	2.82645592	0.057705005	0.0118242	359983	359983	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Anthropometric trait	#ff006d	23099_irnt	Body fat percentage	Body fat percentage	Adrenal gland,Adipose subcutaneous,Adipose visceral omentum,Adrenal gland	0.229998635	0.006820527	0.229998635	0.006820527	33.72153658	1.40E-249	1.40E-249	z7	high		1.094559813	0.017286651	5.470106028	2.25E-08	2.10666855	2.629777006	0.058020093	0.010606758	354628	354628	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Anthropometric trait	#ff006d	23106_irnt	Impedance of whole body	Body impedance	Adrenal gland,Adipose subcutaneous,Adipose visceral omentum	0.268544226	0.009617104	0.268544226	0.009617104	27.9236049	6.90E-172	6.90E-172	z7	high		1.097215815	0.024489612	3.969675515	3.60E-05	2.16456208	2.950787025	0.049834151	0.012553709	354795	354795	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Anthropometric trait	#ff006d	3148_irnt	Heel bone mineral density (BMD)	BMD	Cells transformed fibroblasts	0.317506407	0.031144603	0.317506407	0.031144603	10.1945882	1.05E-24	1.05E-24	z7	high		1.064242934	0.035547535	1.807240178	0.035362419	1.538027264	2.335498503	0.048104085	0.026617428	206496	206496	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Anthropometric trait	#ff006d	48_irnt	Waist circumference	Waist circumference	Adipose subcutaneous,Adipose visceral omentum	0.205680908	0.007324213	0.205680908	0.007324213	28.08232197	8.05E-174	8.05E-174	z7	high		1.073000368	0.019583362	3.72767291	9.66E-05	2.001030219	2.463258151	0.049888919	0.013383395	360564	360564	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Anthropometric trait	#ff006d	50_irnt	Standing height	Standing height	Cells transformed fibroblasts,Adrenal gland	0.485222765	0.021811509	0.485222765	0.021811509	22.24618012	6.14E-110	6.14E-110	z7	high		1.31303779	0.052088973	6.00967477	9.29E-10	2.503192812	4.743624031	0.083618918	0.01391405	360388	360388	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Biomarker	#2355a5	30600_irnt	Albumin (g/L)	Albumin	Whole blood	0.144610767	0.009409909	0.144610767	0.009409909	15.36792453	1.34E-53	1.34E-53	z7	high		1.096082822	0.038854396	2.472894471	0.006701186	1.489360457	1.884643735	0.108611883	0.043920953	315268	315268	continuous_irnt	FALSE	NA	NA	NA	biomarkers	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Biomarker	#2355a5	30620_irnt	Alanine aminotransferase (U/L)	Alanine aminotransferase	Liver	0.132454743	0.012616484	0.132454743	0.012616484	10.49854638	4.39E-26	4.39E-26	z7	high		1.057632388	0.036346642	1.585631708	0.05641144	1.482275934	1.937421381	0.061479703	0.038773003	344136	344136	continuous_irnt	FALSE	NA	NA	NA	biomarkers	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Biomarker	#2355a5	30650_irnt	Aspartate aminotransferase (U/L)	Aspartate aminotransferase	Liver	0.142546172	0.014422611	0.142546172	0.014422611	9.883520756	2.45E-23	2.45E-23	z7	high		1.07315092	0.034742749	2.105501817	0.017623825	1.440906468	2.010747968	0.072373057	0.034373306	342990	342990	continuous_irnt	FALSE	NA	NA	NA	biomarkers	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Biomarker	#2355a5	30680_irnt	Calcium (mmol/L)	Calcium	Whole blood	0.134920392	0.01314993	0.134920392	0.01314993	10.26016068	5.33E-25	5.33E-25	z7	high		1.096973216	0.023594545	4.109984637	1.98E-05	1.407395075	1.850073182	0.114076315	0.027755898	315153	315153	continuous_irnt	FALSE	NA	NA	NA	biomarkers	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Biomarker	#2355a5	30700_irnt	Creatinine (umol/L)	Creatinine	Kidney	0.211492442	0.01258639	0.211492442	0.01258639	16.80326449	1.15E-63	1.15E-63	z7	high		1.09329601	0.024046467	3.879821989	5.23E-05	1.709052084	2.539561137	0.060599094	0.01561904	344104	344104	continuous_irnt	FALSE	NA	NA	NA	biomarkers	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Biomarker	#2355a5	30710_irnt	C-reactive protein (mg/L)	CRP	Liver	0.192542041	0.029812128	0.192542041	0.029812128	6.458513933	5.29E-11	5.29E-11	z4	medium	"isHighSE;"	1.229973948	0.103027326	2.232164591	0.012802043	1.660670709	2.402417211	0.163983975	0.073464105	343524	343524	continuous_irnt	FALSE	NA	NA	NA	biomarkers	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Biomarker	#2355a5	30730_irnt	Gamma glutamyltransferase (U/L)	Gamma glutamyltransferase	Liver	0.228267468	0.02629226	0.228267468	0.02629226	8.681926373	1.95E-18	1.95E-18	z7	medium	"isHighSE;"	1.1211908	0.03963175	3.057921976	0.001114388	1.668896716	2.514763202	0.080006433	0.026163661	344104	344104	continuous_irnt	FALSE	NA	NA	NA	biomarkers	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
